branch_id,branch_name,city,landlord,yearly_rent,agreement_start,expiry_date,duration_years,file_path
1,Branch-1,Peshawar,Derek Benitez,2120214,2021-04-03,2023-04-03,2,data/rentals/rental_agreement_1.pdf
2,Branch-2,Peshawar,Roger Olson,4476490,2021-08-09,2024-08-08,3,data/rentals/rental_agreement_2.pdf
3,Branch-3,Karachi,Jessica Glover,1129812,2021-03-28,2026-03-27,5,data/rentals/rental_agreement_3.pdf
4,Branch-4,Faisalabad,Derek Roth,1027076,2024-11-22,2025-11-22,1,data/rentals/rental_agreement_4.pdf
5,Branch-5,Lahore,James Ross,1952650,2021-01-09,2023-01-09,2,data/rentals/rental_agreement_5.pdf
6,Branch-6,Quetta,Brandi Summers,797789,2021-09-16,2025-09-15,4,data/rentals/rental_agreement_6.pdf
7,Branch-7,Faisalabad,Richard Smith,611112,2022-06-07,2025-06-06,3,data/rentals/rental_agreement_7.pdf
8,Branch-8,Islamabad,Tracy Gray,4752331,2024-01-27,2027-01-26,3,data/rentals/rental_agreement_8.pdf
9,Branch-9,Islamabad,Denise Vega,3210118,2024-06-22,2025-06-22,1,data/rentals/rental_agreement_9.pdf
10,Branch-10,Lahore,Justin Tucker,1953250,2023-12-06,2028-12-04,5,data/rentals/rental_agreement_10.pdf
11,Branch-11,Quetta,Karen Fletcher,2667756,2021-09-13,2024-09-12,3,data/rentals/rental_agreement_11.pdf
12,Branch-12,Karachi,Timothy Huang,4694311,2024-08-15,2027-08-15,3,data/rentals/rental_agreement_12.pdf
13,Branch-13,Peshawar,Roberto Gutierrez,4922115,2023-08-11,2024-08-10,1,data/rentals/rental_agreement_13.pdf
14,Branch-14,Lahore,Lisa Silva,2555470,2022-09-10,2026-09-09,4,data/rentals/rental_agreement_14.pdf
15,Branch-15,Multan,Andrew Moses,1418988,2023-05-05,2026-05-04,3,data/rentals/rental_agreement_15.pdf
16,Branch-16,Multan,Emma Conner,3639462,2024-01-03,2027-01-02,3,data/rentals/rental_agreement_16.pdf
17,Branch-17,Lahore,Judy Peters,4193220,2024-03-21,2025-03-21,1,data/rentals/rental_agreement_17.pdf
18,Branch-18,Quetta,Hannah Anderson,700073,2023-01-31,2024-01-31,1,data/rentals/rental_agreement_18.pdf
19,Branch-19,Multan,Michael Richard,1406340,2024-03-14,2027-03-14,3,data/rentals/rental_agreement_19.pdf
20,Branch-20,Lahore,Gina Gamble,3575696,2022-11-23,2024-11-22,2,data/rentals/rental_agreement_20.pdf
21,Branch-21,Islamabad,Lisa Webb,4577992,2022-02-08,2024-02-08,2,data/rentals/rental_agreement_21.pdf
22,Branch-22,Islamabad,Michael Stein,905469,2022-09-11,2027-09-10,5,data/rentals/rental_agreement_22.pdf
23,Branch-23,Lahore,Rebecca Hughes,2998501,2024-12-03,2028-12-02,4,data/rentals/rental_agreement_23.pdf
24,Branch-24,Karachi,Yolanda Phillips,1144067,2023-12-26,2025-12-25,2,data/rentals/rental_agreement_24.pdf
25,Branch-25,Karachi,Glenn Nelson,2311107,2023-12-19,2027-12-18,4,data/rentals/rental_agreement_25.pdf
26,Branch-26,Quetta,Tracy Park,2789204,2020-12-01,2025-11-30,5,data/rentals/rental_agreement_26.pdf
27,Branch-27,Islamabad,Justin Gonzales,3779435,2025-02-02,2030-02-01,5,data/rentals/rental_agreement_27.pdf
28,Branch-28,Islamabad,Logan Peterson,1076574,2025-08-12,2027-08-12,2,data/rentals/rental_agreement_28.pdf
29,Branch-29,Karachi,Chad Hensley,4583228,2024-03-13,2028-03-12,4,data/rentals/rental_agreement_29.pdf
30,Branch-30,Islamabad,James Conley,2698424,2021-03-01,2026-02-28,5,data/rentals/rental_agreement_30.pdf
31,Branch-31,Peshawar,Brandon Meyers,4496786,2022-07-08,2026-07-07,4,data/rentals/rental_agreement_31.pdf
32,Branch-32,Multan,Tyrone Moore,3161774,2021-10-04,2026-10-03,5,data/rentals/rental_agreement_32.pdf
33,Branch-33,Karachi,Kristin Murphy,3691661,2024-07-17,2027-07-17,3,data/rentals/rental_agreement_33.pdf
34,Branch-34,Karachi,Carl Smith,2139828,2023-10-28,2028-10-26,5,data/rentals/rental_agreement_34.pdf
35,Branch-35,Islamabad,Mr. Robert Johnson DVM,948212,2021-07-06,2026-07-05,5,data/rentals/rental_agreement_35.pdf
36,Branch-36,Karachi,Donna Miller,2842528,2021-04-20,2022-04-20,1,data/rentals/rental_agreement_36.pdf
37,Branch-37,Multan,Carolyn Huerta,3129941,2022-08-30,2025-08-29,3,data/rentals/rental_agreement_37.pdf
38,Branch-38,Peshawar,Andre Davis,3062599,2025-07-02,2029-07-01,4,data/rentals/rental_agreement_38.pdf
39,Branch-39,Islamabad,Daniel Vazquez,3658319,2025-06-07,2026-06-07,1,data/rentals/rental_agreement_39.pdf
40,Branch-40,Faisalabad,Michael Williams,1952950,2023-08-17,2025-08-16,2,data/rentals/rental_agreement_40.pdf
41,Branch-41,Lahore,Brittany Brown,1456988,2022-01-05,2023-01-05,1,data/rentals/rental_agreement_41.pdf
42,Branch-42,Islamabad,Robert Novak,910397,2025-03-09,2030-03-08,5,data/rentals/rental_agreement_42.pdf
43,Branch-43,Quetta,Joseph Morse,2763269,2024-04-02,2026-04-02,2,data/rentals/rental_agreement_43.pdf
44,Branch-44,Lahore,Vanessa Henderson,3782180,2022-05-09,2026-05-08,4,data/rentals/rental_agreement_44.pdf
45,Branch-45,Multan,Sandra Allen,1061199,2023-05-29,2024-05-28,1,data/rentals/rental_agreement_45.pdf
46,Branch-46,Lahore,Kristy Rice,2165213,2023-05-08,2026-05-07,3,data/rentals/rental_agreement_46.pdf
47,Branch-47,Faisalabad,John Harrell,866655,2024-04-23,2028-04-22,4,data/rentals/rental_agreement_47.pdf
48,Branch-48,Islamabad,Alexandria Wilcox,3796848,2022-03-14,2026-03-13,4,data/rentals/rental_agreement_48.pdf
49,Branch-49,Islamabad,Jeffrey James,1446235,2020-09-18,2021-09-18,1,data/rentals/rental_agreement_49.pdf
50,Branch-50,Multan,Natalie Wilcox,1429135,2022-08-09,2027-08-08,5,data/rentals/rental_agreement_50.pdf
51,Branch-51,Islamabad,Matthew Armstrong,842170,2024-02-26,2029-02-24,5,data/rentals/rental_agreement_51.pdf
52,Branch-52,Quetta,Erin Gibson,4298052,2023-05-21,2025-05-20,2,data/rentals/rental_agreement_52.pdf
53,Branch-53,Faisalabad,Roberto Smith,3151800,2024-02-27,2027-02-26,3,data/rentals/rental_agreement_53.pdf
54,Branch-54,Multan,Matthew Mason,2400880,2024-09-22,2027-09-22,3,data/rentals/rental_agreement_54.pdf
55,Branch-55,Karachi,Lisa Mcdonald,4299745,2021-03-31,2023-03-31,2,data/rentals/rental_agreement_55.pdf
56,Branch-56,Multan,Janet Palmer PhD,4303736,2021-09-09,2026-09-08,5,data/rentals/rental_agreement_56.pdf
57,Branch-57,Islamabad,John Smith,2631816,2024-07-23,2029-07-22,5,data/rentals/rental_agreement_57.pdf
58,Branch-58,Quetta,James Garner,2471139,2022-01-23,2023-01-23,1,data/rentals/rental_agreement_58.pdf
59,Branch-59,Multan,Matthew Snow,744001,2024-01-06,2029-01-04,5,data/rentals/rental_agreement_59.pdf
60,Branch-60,Quetta,Christina Meza,1958565,2025-01-15,2026-01-15,1,data/rentals/rental_agreement_60.pdf
61,Branch-61,Faisalabad,Jamie Rose,3956013,2024-06-13,2028-06-12,4,data/rentals/rental_agreement_61.pdf
62,Branch-62,Peshawar,William Carlson DVM,1241155,2024-12-03,2026-12-03,2,data/rentals/rental_agreement_62.pdf
63,Branch-63,Multan,Mr. Gabriel Costa,2775634,2021-11-18,2024-11-17,3,data/rentals/rental_agreement_63.pdf
64,Branch-64,Karachi,Michael Mcintosh,4956767,2021-11-16,2026-11-15,5,data/rentals/rental_agreement_64.pdf
65,Branch-65,Islamabad,Jennifer Logan,4324469,2020-11-13,2022-11-13,2,data/rentals/rental_agreement_65.pdf
66,Branch-66,Faisalabad,Ashley Barnes,1617550,2023-01-25,2025-01-24,2,data/rentals/rental_agreement_66.pdf
67,Branch-67,Peshawar,Sandy Greene,2408618,2023-05-06,2026-05-05,3,data/rentals/rental_agreement_67.pdf
68,Branch-68,Peshawar,Wayne Vargas,3577885,2023-10-09,2027-10-08,4,data/rentals/rental_agreement_68.pdf
69,Branch-69,Karachi,Matthew Sanchez,3073884,2024-04-18,2029-04-17,5,data/rentals/rental_agreement_69.pdf
70,Branch-70,Islamabad,Daniel Miranda,4845882,2022-03-22,2024-03-21,2,data/rentals/rental_agreement_70.pdf
71,Branch-71,Faisalabad,Christopher Wilson DDS,981527,2023-05-31,2027-05-30,4,data/rentals/rental_agreement_71.pdf
72,Branch-72,Quetta,Scott Thomas,2343679,2025-06-25,2027-06-25,2,data/rentals/rental_agreement_72.pdf
73,Branch-73,Islamabad,Robin Brown,3547759,2022-02-20,2025-02-19,3,data/rentals/rental_agreement_73.pdf
74,Branch-74,Peshawar,Megan Marshall,810350,2024-02-13,2025-02-12,1,data/rentals/rental_agreement_74.pdf
75,Branch-75,Quetta,Joel Smith,950966,2024-08-26,2029-08-25,5,data/rentals/rental_agreement_75.pdf
76,Branch-76,Faisalabad,Robert Peterson,2298805,2024-09-27,2027-09-27,3,data/rentals/rental_agreement_76.pdf
77,Branch-77,Multan,Jennifer Williams,668857,2021-08-11,2024-08-10,3,data/rentals/rental_agreement_77.pdf
78,Branch-78,Lahore,Ethan Bird,3071838,2025-06-13,2027-06-13,2,data/rentals/rental_agreement_78.pdf
79,Branch-79,Faisalabad,Ryan Richard,2853728,2022-01-20,2027-01-19,5,data/rentals/rental_agreement_79.pdf
80,Branch-80,Peshawar,Brian Klein,3462374,2024-01-03,2028-01-02,4,data/rentals/rental_agreement_80.pdf
81,Branch-81,Karachi,Randy Vaughn,3131598,2023-04-16,2024-04-15,1,data/rentals/rental_agreement_81.pdf
82,Branch-82,Quetta,Mr. Caleb Mccullough Jr.,649471,2022-12-10,2023-12-10,1,data/rentals/rental_agreement_82.pdf
83,Branch-83,Faisalabad,Richard Robertson,2249056,2020-11-08,2023-11-08,3,data/rentals/rental_agreement_83.pdf
84,Branch-84,Lahore,Jasmin Franklin,3385139,2021-04-08,2026-04-07,5,data/rentals/rental_agreement_84.pdf
85,Branch-85,Lahore,Michelle Wilson,1167674,2025-05-16,2029-05-15,4,data/rentals/rental_agreement_85.pdf
86,Branch-86,Multan,Dale Jones,699177,2022-08-29,2024-08-28,2,data/rentals/rental_agreement_86.pdf
87,Branch-87,Faisalabad,Christina Young,698653,2022-01-05,2027-01-04,5,data/rentals/rental_agreement_87.pdf
88,Branch-88,Faisalabad,Kimberly Young,3606603,2021-07-17,2022-07-17,1,data/rentals/rental_agreement_88.pdf
89,Branch-89,Faisalabad,Tina Watson,2350488,2025-09-15,2028-09-14,3,data/rentals/rental_agreement_89.pdf
90,Branch-90,Lahore,Sara Davis,3644989,2024-01-29,2027-01-28,3,data/rentals/rental_agreement_90.pdf
91,Branch-91,Lahore,Angela Reynolds,1333357,2021-09-12,2023-09-12,2,data/rentals/rental_agreement_91.pdf
92,Branch-92,Quetta,Danielle Rios,2820312,2022-01-11,2026-01-10,4,data/rentals/rental_agreement_92.pdf
93,Branch-93,Faisalabad,Destiny George,4090749,2024-07-05,2027-07-05,3,data/rentals/rental_agreement_93.pdf
94,Branch-94,Quetta,Jose Cardenas,2143972,2022-02-22,2026-02-21,4,data/rentals/rental_agreement_94.pdf
95,Branch-95,Lahore,Vincent Gonzalez DDS,3145803,2024-10-03,2027-10-03,3,data/rentals/rental_agreement_95.pdf
96,Branch-96,Lahore,Jessica Tucker,1324705,2024-07-17,2029-07-16,5,data/rentals/rental_agreement_96.pdf
97,Branch-97,Faisalabad,Albert Phillips,2898055,2021-11-30,2022-11-30,1,data/rentals/rental_agreement_97.pdf
98,Branch-98,Islamabad,Dave Thomas,3639331,2023-09-18,2027-09-17,4,data/rentals/rental_agreement_98.pdf
99,Branch-99,Multan,Michelle Davis,1453697,2020-12-30,2022-12-30,2,data/rentals/rental_agreement_99.pdf
100,Branch-100,Multan,Jaime Smith,2638197,2024-07-07,2026-07-07,2,data/rentals/rental_agreement_100.pdf
101,Branch-101,Multan,Anthony Mclean,507915,2023-05-24,2027-05-23,4,data/rentals/rental_agreement_101.pdf
102,Branch-102,Lahore,James Robbins,1416070,2025-05-05,2026-05-05,1,data/rentals/rental_agreement_102.pdf
103,Branch-103,Islamabad,Sara Crawford,1976154,2025-04-22,2029-04-21,4,data/rentals/rental_agreement_103.pdf
104,Branch-104,Multan,Paul Smith,3591136,2020-11-21,2024-11-20,4,data/rentals/rental_agreement_104.pdf
105,Branch-105,Faisalabad,Natasha Kidd,4740539,2023-08-18,2025-08-17,2,data/rentals/rental_agreement_105.pdf
106,Branch-106,Multan,Rachel Christensen,3569903,2022-01-24,2026-01-23,4,data/rentals/rental_agreement_106.pdf
107,Branch-107,Islamabad,Brittany Johnston,3622349,2023-11-26,2026-11-25,3,data/rentals/rental_agreement_107.pdf
108,Branch-108,Karachi,Norman Johnson,2164280,2024-10-01,2029-09-30,5,data/rentals/rental_agreement_108.pdf
109,Branch-109,Peshawar,Jack Thompson,2411903,2021-12-14,2026-12-13,5,data/rentals/rental_agreement_109.pdf
110,Branch-110,Faisalabad,Lisa Wagner,4639264,2023-08-28,2024-08-27,1,data/rentals/rental_agreement_110.pdf
111,Branch-111,Faisalabad,Leah Powers,1057855,2022-08-03,2026-08-02,4,data/rentals/rental_agreement_111.pdf
112,Branch-112,Peshawar,Shannon Garner,4112168,2022-12-04,2024-12-03,2,data/rentals/rental_agreement_112.pdf
113,Branch-113,Faisalabad,Kayla Ferguson,2986745,2025-05-31,2030-05-30,5,data/rentals/rental_agreement_113.pdf
114,Branch-114,Karachi,Alison Henson,2847001,2024-04-01,2028-03-31,4,data/rentals/rental_agreement_114.pdf
115,Branch-115,Islamabad,Kristy Barry,1116068,2024-01-11,2026-01-10,2,data/rentals/rental_agreement_115.pdf
116,Branch-116,Faisalabad,Kevin Moore,1887589,2025-02-03,2026-02-03,1,data/rentals/rental_agreement_116.pdf
117,Branch-117,Islamabad,Michael Spears,3817485,2021-05-05,2024-05-04,3,data/rentals/rental_agreement_117.pdf
118,Branch-118,Multan,Jennifer Myers,4161507,2024-03-13,2025-03-13,1,data/rentals/rental_agreement_118.pdf
119,Branch-119,Islamabad,Bruce Vaughn,4706561,2022-09-26,2026-09-25,4,data/rentals/rental_agreement_119.pdf
120,Branch-120,Quetta,Matthew Stewart,575498,2022-05-23,2026-05-22,4,data/rentals/rental_agreement_120.pdf
121,Branch-121,Multan,Bobby Brewer,2799775,2025-08-13,2027-08-13,2,data/rentals/rental_agreement_121.pdf
122,Branch-122,Faisalabad,Jennifer Salazar,2843041,2021-07-03,2023-07-03,2,data/rentals/rental_agreement_122.pdf
123,Branch-123,Lahore,Joshua Dougherty,1090066,2023-12-25,2024-12-24,1,data/rentals/rental_agreement_123.pdf
124,Branch-124,Karachi,Larry Nguyen,1883472,2025-06-12,2030-06-11,5,data/rentals/rental_agreement_124.pdf
125,Branch-125,Lahore,Sara Mcclure,2550316,2022-11-17,2025-11-16,3,data/rentals/rental_agreement_125.pdf
126,Branch-126,Lahore,James Villegas,1872399,2023-04-23,2028-04-21,5,data/rentals/rental_agreement_126.pdf
127,Branch-127,Peshawar,Pamela Ortiz,2886594,2022-08-29,2023-08-29,1,data/rentals/rental_agreement_127.pdf
128,Branch-128,Lahore,Christopher Oconnor,1600483,2021-12-11,2022-12-11,1,data/rentals/rental_agreement_128.pdf
129,Branch-129,Lahore,Amanda Hill,734700,2024-12-31,2028-12-30,4,data/rentals/rental_agreement_129.pdf
130,Branch-130,Faisalabad,Zachary Wilson,3018737,2025-07-05,2030-07-04,5,data/rentals/rental_agreement_130.pdf
131,Branch-131,Multan,Andrew Vazquez,4288871,2022-09-21,2023-09-21,1,data/rentals/rental_agreement_131.pdf
132,Branch-132,Faisalabad,Kenneth Harris,4973989,2023-12-22,2028-12-20,5,data/rentals/rental_agreement_132.pdf
133,Branch-133,Lahore,Paul Rodriguez,1942305,2021-01-24,2023-01-24,2,data/rentals/rental_agreement_133.pdf
134,Branch-134,Karachi,Jennifer Parker,2942423,2022-12-20,2025-12-19,3,data/rentals/rental_agreement_134.pdf
135,Branch-135,Peshawar,John Roach,4390341,2020-12-26,2023-12-26,3,data/rentals/rental_agreement_135.pdf
136,Branch-136,Karachi,Robert Gutierrez,2709571,2021-05-12,2022-05-12,1,data/rentals/rental_agreement_136.pdf
137,Branch-137,Faisalabad,Dawn Miller,1885754,2021-05-02,2026-05-01,5,data/rentals/rental_agreement_137.pdf
138,Branch-138,Karachi,Stephanie Delgado,2111628,2023-03-10,2024-03-09,1,data/rentals/rental_agreement_138.pdf
